seed_id,seed_query,language,topic_family,service_relation,intent_hypothesis,local_intent,source,evidence,priority_for_serp_research,notes
SEED-COUP-01,ייעוץ זוגי,he,זוגיות ויחסים,שירות ליבה,Commercial / Informational (חיפוש כללי אחר טיפול/ייעוץ זוגי),NATIONAL,SERVICE_CORE,עמוד שירות מרכזי /services/couples; נוכחות ב-GSC,HIGH,שאילתת Head ראשית לתחום הזוגיות בישראל
SEED-COUP-02,ייעוץ זוגי אשדוד,he,זוגיות ויחסים (מקומי),שירות ליבה (לוקאלי),Local Commercial (חיפוש יועץ/ת מקומי/ת לקביעת תור),LOCAL_ASHDOD,LANDING_PAGE,"דף נחיתה /couples-counseling-ashdod, מקושר מ-41 מאמרי בלוג",HIGH,נכס ה-BOFU הלוקאלי המרכזי של האתר
SEED-COUP-03,יועצת זוגית אשדוד,he,זוגיות ויחסים (מקומי),שירות ליבה (לוקאלי),Local Commercial (חיפוש יועצת ספציפית בעיר),LOCAL_ASHDOD,SERVICE_CORE,מיצוב שירה סהרוני כיועצת זוגית באשדוד,HIGH,וריאציה נשית מדויקת לחיפוש מקומי
SEED-COUP-04,תקשורת זוגית,he,זוגיות ויחסים,שירות ליבה / מידע,"Informational / Commercial Investigation (איך לשפר תקשורת, דפוסים)",NATIONAL,CONTENT_CORE,מאמר communication-breakdown הניב 3 קליקים ב-GSC,HIGH,נושא המייצר קליקים מוכחים ב-GSC
SEED-COUP-05,ריבים בזוגיות,he,זוגיות ויחסים,שירות ליבה / מידע,"Informational / Problem-Aware (הבנת ריבים חוזרים, עצירת הסלמה)",NATIONAL,USER_PROBLEM,עמוד נחיתה /services/couples/crisis ומאמרי בלוג על ויכוחים,HIGH,שפת חיפוש טבעית של משתמשים במצוקה
SEED-COUP-06,נתק בתקשורת בזוגיות,he,זוגיות ויחסים,שירות ליבה / מידע,"Informational / Problem-Aware (שתיקות ממושכות, ריחוק)",NATIONAL,CONTENT_CORE,מאמר communication-breakdown ומאמר exhausted-couple-communication,HIGH,תופעה נפוצה המובילה לפנייה לייעוץ
SEED-COUP-07,משבר בזוגיות מה לעשות,he,זוגיות ויחסים,שירות ליבה (משבר),Informational / Urgent Guidance (חיפוש צעדים מיידיים במשבר),NATIONAL,LANDING_PAGE,עמוד נחיתה /services/couples/crisis,HIGH,מוביל ישירות לעמוד המשבר
SEED-COUP-08,איך לדעת אם להיפרד או להישאר,he,זוגיות ויחסים,בירור לפני פרידה,Informational / High Consideration (דילמת הישארות/גירושין),NATIONAL,LANDING_PAGE,עמוד נחיתה /services/couples/before-separation,HIGH,צומת הכרעה קריטית
SEED-DATE-01,פגישה ראשונה,he,דייטים ותחילת קשר,ליווי למציאת זוגיות,"Informational (איך להתנהג, על מה לדבר, התרגשות)",NATIONAL,GSC_EXPOSED,חשיפה מאומתת ב-GSC למאמר new-relationship-initial-intentions,HIGH,"שאילתת Head שחשופה ב-GSC, דורשת פיצוח כוונה ב-SERP"
SEED-DATE-02,לא להראות התלהבות בתחילת קשר,he,דייטים ותחילת קשר,ליווי למציאת זוגיות,"Informational (דילמת משחקי כוחות, קצב הודעות, פחד להרתיע)",NATIONAL,GSC_EXPOSED,חשיפה מאומתת ב-GSC למאמר dating-transition-to-relationship-boundaries,HIGH,שאילתת Long-tail ממוקדת שנצפתה ב-GSC
SEED-DATE-03,תחילת קשר,he,דייטים ותחילת קשר,ליווי למציאת זוגיות,"Informational (ניהול קצב, יצירת ביטחון, גבולות)",NATIONAL,CONTENT_CORE,עמוד שירות /services/finding-relationship ומאמרי דייטים,HIGH,מונח מטרייה לשלב המעבר מדייט לקשר
SEED-DATE-04,עייפות מדייטים,he,דייטים ורווקות מאוחרת,רווקות מאוחרת / מציאת זוגיות,"Informational / Empathy-Seeking (שחיקה מאפליקציות, אובדן כוחות)",NATIONAL,GSC_GA4_VALIDATED,מאמר dating-fatigue-resilience הניב קליק ב-GSC וביקור אורגני ב-GA4,HIGH,נקודת כאב מאומתת בדאטה עם ביצועים פעילים
SEED-DATE-05,איך יודעים אם קשר מתאים,he,דייטים ותחילת קשר,ליווי למציאת זוגיות,"Informational / Decision-Making (קריטריונים לבחירת בן זוג, התלבטות)",NATIONAL,USER_PROBLEM,מאמר dating-second-chance-criteria ועמוד שירות,HIGH,שאילתת ייעוץ קלאסית
SEED-DATE-06,רווקות מאוחרת בגיל 30,he,דייטים ורווקות מאוחרת,שירות נישה (רווקות מאוחרת),Informational / Support (התמודדות עם לחץ חברתי ומשפחתי),NATIONAL,SERVICE_CORE,עמוד שירות /services/late-singleness,MEDIUM,קהל יעד מוגדר של שירה
SEED-PAR-01,הדרכת הורים,he,הורות ומשפחה,שירות ליבה,Commercial / Informational (חיפוש שירותי הדרכת הורים),NATIONAL,SERVICE_CORE,עמוד שירות /services/parenting הניב 6 חשיפות וקליק ב-GSC,HIGH,שאילתת Head ראשית לתחום ההורות
SEED-PAR-02,הדרכת הורים אשדוד,he,הורות ומשפחה (מקומי),שירות ליבה (לוקאלי),Local Commercial (חיפוש מנחה מקומית באשדוד),LOCAL_ASHDOD,LANDING_PAGE,"דף נחיתה /parenting-guidance-ashdod, מקושר מ-16 מאמרים",HIGH,עוגן מסחרי מקומי להורים
SEED-PAR-03,הצבת גבולות לילדים,he,הורות ומשפחה,הדרכת הורים,Informational (איך מציבים גבול בלי מאבקי כוח),NATIONAL,CONTENT_CORE,מאמר boundaries-without-punishments הניב 11 חשיפות ו-2 קליקים ב-GSC,HIGH,נושא מוביל קליקים בדאטה האמיתי של האתר
SEED-PAR-04,גבולות ללא עונשים,he,הורות ומשפחה,הדרכת הורים,Informational (גישה חיובית לסמכות הורית),NATIONAL,GSC_VALIDATED,ביצועים ישירים של המאמר בעל אותו השם ב-GSC,HIGH,ביטוי ליבה של פילוסופיית ההדרכה של שירה
SEED-PAR-05,התפרצויות זעם אצל ילדים,he,הורות ומשפחה,הדרכת הורים,Informational (איך להרגיע ילד בהתקף זעם),NATIONAL,CONTENT_CORE,מאמר public-tantrums-emotional-regulation,HIGH,כאב הורי שכיח ודחוף
SEED-PAR-06,איך להפסיק לצעוק על הילדים,he,הורות ומשפחה,הדרכת הורים,"Informational / Empathy-Seeking (רגשות אשם הוריים, שליטה עצמית)",NATIONAL,CONTENT_CORE,מאמר breaking-the-yelling-cycle שקיבל חשיפות ב-GSC,HIGH,שאילתת כאב רגשית גבוהה
SEED-PAR-07,הדרכת הורים לילדים מחוננים,he,מחוננים והורות,שירות נישה (בידול),Commercial / Informational (הדרכה ספציפית לקשיי מחוננות),NATIONAL,SERVICE_CORE,עמוד שירות /services/gifted-parenting והפניות AI ב-GA4,HIGH,יתרון תחרותי מובהק של שירה בשוק הישראלי
SEED-PAR-08,הכנה למסגרת מחוננים,he,מחוננים והורות,שירות נישה,Informational / Preparatory (התמודדות עם יום שליפה או כיתת מחוננים),NATIONAL,CONTENT_CORE,מאמר gifted-children-framework-preparation,MEDIUM,רלוונטיות עונתית וספציפית
