Campaign,Ad Group,Keyword,Criterion Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,ייעוץ זוגי באשדוד,Exact,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,טיפול זוגי באשדוד,Exact,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,יועץ זוגי באשדוד,Exact,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,יועצת זוגית באשדוד,Exact,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,ייעוץ נישואין באשדוד,Exact,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,ייעוץ זוגי באשדוד,Phrase,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,טיפול זוגי באשדוד,Phrase,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,couple therapy ashdod,Phrase,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,חינם,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,חינמי,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,שירות לאומי,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,לימודים,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,קורס,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,עבודה סוציאלית,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,רווחה,Negative Campaign,,,,,,,,
Search_CouplesCounseling_Ashdod_V1,Couples_Counseling_Ashdod_Core,דרושים,Negative Campaign,,,,,,,,
