url,route,page_type,title,h1,primary_topic,secondary_topics,service_relation,intended_audience,likely_search_intent,current_cta,internal_links_in,internal_links_out,canonical,indexability,notes
https://kesher.saharoni.com,/,homepage,שירה סהרוני | ייעוץ זוגי והנחיית הורים,אפשר לבחור לבנות את הקשר אחרת. יחד.,ייעוץ זוגי והנחיית הורים באשדוד ואונליין,"תקשורת זוגית, משברים, הדרכת הורים, מחוננים, ADHD, גישור",שער ראשי לכלל השירותים,"זוגות, הורים ומשפחות בתקופות מעבר או משבר","Navigational / Commercial Investigation (שירה סהרוני, ייעוץ זוגי באשדוד)",תיאום שיחת היכרות / WhatsApp,102,23,https://kesher.saharoni.com,INDEXABLE,דף הבית המרכזי
https://kesher.saharoni.com/about,/about,about,"אודות שירה סהרוני | יועצת זוגית, מנחת הורים ומגשרת",אני שירה סהרוני,פרופיל מקצועי והכשרה,"עורכת דין בהכשרתה, מגשרת מוסמכת, יועצת זוגית, מנחת הורים, פילוסופיית עבודה",כללי - חיזוק אמון וסמכות מקצועית (E-E-A-T),לקוחות פוטנציאליים הבודקים הסמכות ורקע מקצועי,Navigational / Informational (שירה סהרוני אודות/הסמכה),תיאום שיחת היכרות / WhatsApp,102,23,https://kesher.saharoni.com/about,INDEXABLE,כולל סכמת ProfilePage מפורטת
https://kesher.saharoni.com/services/couples,/services/couples,service,ייעוץ זוגי באשדוד ואונליין | שירה סהרוני,לדבר על מה שקורה לפני ששוברים את הכלים,ייעוץ זוגי כללי ופרטני,"תקשורת זוגית, שחיקה, ריחוק רגשי, משברים, דפוסי תגובה",שירות ליבה: ייעוץ זוגי,זוגות החווים קושי בתקשורת או ריחוק,"Commercial / Transactional (ייעוץ זוגי, טיפול זוגי באשדוד/אונליין)",לתיאום פגישה ראשונה / שיחת היכרות,102,23,https://kesher.saharoni.com/services/couples,INDEXABLE,עמוד שירות עוגן לתחום הזוגיות
https://kesher.saharoni.com/services/parenting,/services/parenting,service,"הדרכת הורים | מחוננים, ADHD והכנה לכיתה א | שירה סהרוני",להבין מה מקשה בבית ולבחור תגובה שעוזרת,הדרכת הורים מעשית,"גבולות ללא עונשים, התפרצויות זעם, ADHD, מחוננים, מעברים חינוכיים",שירות ליבה: הדרכת הורים,"הורים לפעוטות, ילדים ומתבגרים עם קשיי ויסות/סמכות","Commercial / Transactional (הדרכת הורים, הדרכת הורים ADHD)",קביעת פגישת הדרכה / WhatsApp,102,23,https://kesher.saharoni.com/services/parenting,INDEXABLE,עמוד שירות עוגן לתחום ההורות
https://kesher.saharoni.com/services/mediation,/services/mediation,service,גישור באשדוד ובאונליין | מגשרת מוסמכת | שירה סהרוני,להפוך שיחה תקועה להסכמות שאפשר לקיים,"גישור זוגי, משפחתי ובין-אישי","הסכמות פרידה/גירושין, שלום בית, סכסוכי ירושה, סכסוכי שכנים/שותפים",שירות ליבה: גישור,צדדים בסכסוך המעוניינים בהסכם הוגן מחוץ לבית משפט,"Commercial / Transactional (גישור זוגי, גישור פרידה באשדוד)",פנייה לגישור / בדיקת התאמה,102,23,https://kesher.saharoni.com/services/mediation,INDEXABLE,"מתבסס על הסמכה רשמית ורקע משפטי כעו""ד"
https://kesher.saharoni.com/services/gifted-parenting,/services/gifted-parenting,service,הנחיית הורים לילדים מחוננים | שירה סהרוני,הנחיית הורים לילדים מחוננים,הורות לילדים מחוננים ומצטיינים,"רגישות יתר, אסינכרוניות התפתחותית, תפקודים ניהוליים, בדידות חברתית, כניסה למסגרת מחוננים",שירות נישה: הדרכת הורים ייעודית למחוננים,הורים לילדים מחוננים או בתהליכי איתור/קבלה,Commercial / Informational (הדרכת הורים לילדים מחוננים),תיאום פגישת ייעוץ,102,23,https://kesher.saharoni.com/services/gifted-parenting,INDEXABLE,התמחות ייחודית בעלת בידול שוק גבוה
https://kesher.saharoni.com/services/aliyah-families,/services/aliyah-families,service,ייעוץ למשפחות עולים ותושבים חוזרים | שירה סהרוני,ייעוץ זוגי והנחיית הורים למשפחות עולים ותושבים חוזרים,ליווי משפחות בתהליכי עלייה וקליטה,"פערי שפה ותרבות, הבדלי קצב הסתגלות בין בני זוג, חינוך ישראלי, ריחוק מרשת תמיכה",שירות נישה: משפחות עולים ותושבים חוזרים,"עולים חדשים, ותיקים ותושבים חוזרים לישראל","Commercial (ייעוץ משפחתי לעולים, קשיי קליטה במשפחה)",תיאום שיחת היכרות,102,23,https://kesher.saharoni.com/services/aliyah-families,INDEXABLE,התמחות ייעודית לקשיי הגירה והסתגלות משפחתית
https://kesher.saharoni.com/services/couples-aliyah-relocation,/services/couples-aliyah-relocation,service,ייעוץ זוגי לעולים ולזוגות ברילוקיישן | שירה סהרוני,ייעוץ זוגי לעולים ולזוגות ברילוקיישן,זוגיות במעברי מדינה ורילוקיישן,"איבוד קריירה של בן/בת זוג נלווה, תלות הדדית כפויה, בדידות, שחיקת הקשר ברילוקיישן",שירות נישה: ייעוץ זוגי לרילוקיישן ועלייה,"זוגות ישראלים ברילוקיישן בחו""ל או זוגות עולים/תושבים חוזרים","Commercial (ייעוץ זוגי ברילוקיישן, משבר זוגי ברילוקיישן)",תיאום פגישת זום / ייעוץ,103,23,https://kesher.saharoni.com/services/couples-aliyah-relocation,INDEXABLE,"שירות אונליין גלובלי בינלאומי לקהל ישראלי בחו""ל ובישראל"
https://kesher.saharoni.com/services/premarital-first-year,/services/premarital-first-year,service,הכנה לנישואים וליווי בשנה הראשונה | שירה סהרוני,הכנה לנישואים וליווי בשנה הראשונה,הכנה לנישואין וליווי השנה הראשונה,"מריבות סביב חתונה, כספים וחשבון משותף, משפחות מוצא וחמות, חלוקת תפקידים בבית, אינטימיות",שירות נישה: הדרכת טרום-נישואין וזוגות צעירים,מאורסים וזוגות בשנה הראשונה לנישואים,"Commercial / Informational (הכנה לנישואין, ייעוץ זוגי לפני חתונה, שנה ראשונה לנישואין)",קביעת פגישת הכנה זוגית,102,23,https://kesher.saharoni.com/services/premarital-first-year,INDEXABLE,שירות מניעתי בעל ערך גבוה לפני קיבוע דפוסים שליליים
https://kesher.saharoni.com/services/late-singleness,/services/late-singleness,service,ייעוץ במצבי רווקות מאוחרת | שירה סהרוני,ייעוץ במצבי רווקות מאוחרת,רווקות מאוחרת ושחיקה מדייטים,"עייפות מאפליקציות, לחץ חברתי ומשפחתי, בדידות, תחושת החמצה, דפוסי בחירה חוזרים",שירות נישה: ייעוץ פרטני לרווקים/ות,רווקים ורווקות בגילאי 30+ החווים שחיקה בתהליך מציאת קשר,"Commercial / Informational (רווקות מאוחרת, ייעוץ לרווקים, עייפות מדייטים)",תיאום שיחת בירור אישית,102,23,https://kesher.saharoni.com/services/late-singleness,INDEXABLE,ייעוץ אישי ממוקד אמפתיה והקלה על בדידות/לחץ
