record_type,url,query,country,device,clicks,impressions,ctr,position,date_range,notes
query_page,https://kesher.saharoni.com/blog/dating-transition-to-relationship-boundaries,לא להראות התלהבות בתחילת קשר,ISR,DESKTOP,0,1,0.0,95.0,2026-06-01 to 2026-09-16 (90d+),Verified live in GSC. Page ranks at pos 95 for exact dating query.
query_page,https://kesher.saharoni.com/blog/new-relationship-initial-intentions,פגישה ראשונה,ISR,DESKTOP,0,1,0.0,82.0,2026-06-01 to 2026-09-16 (90d+),Verified live in GSC. Page ranks at pos 82 for high-volume head seed.
page,https://kesher.saharoni.com/blog/communication-breakdown,(privacy_filtered),ISR,ALL,3,5,0.6,4.4,2026-06-01 to 2026-09-16,"Top performing blog post. 3 clicks, 60% CTR in top 5 positions."
page,https://kesher.saharoni.com/blog/boundaries-without-punishments,(privacy_filtered),ISR,ALL,2,11,0.1818,3.45,2026-06-01 to 2026-09-16,"Strong parenting performer. 11 impressions, 2 clicks in top 4 positions."
page,https://kesher.saharoni.com/,(privacy_filtered),ISR,ALL,1,20,0.05,2.1,2026-06-01 to 2026-09-16,"Homepage. Highest impressions volume (20), pos 2.1."
page,https://kesher.saharoni.com/blog/dating-fatigue-resilience,(privacy_filtered),ISR,ALL,1,1,1.0,4.0,2026-06-01 to 2026-09-16,1 click from 1 impression at position 4.0.
page,https://kesher.saharoni.com/faq,(privacy_filtered),ISR,ALL,1,16,0.0625,8.81,2026-06-01 to 2026-09-16,FAQ page receives steady visibility (16 imps) and 1 click.
page,https://kesher.saharoni.com/services/parenting,(privacy_filtered),ISR,ALL,1,6,0.1667,3.0,2026-06-01 to 2026-09-16,"Core parenting service page. 6 imps, 1 click, position 3.0."
page,https://kesher.saharoni.com/services/premarital-first-year,(privacy_filtered),ISR,ALL,1,3,0.3333,6.33,2026-06-01 to 2026-09-16,"Premarital service page. 3 imps, 1 click, position 6.33."
page,https://kesher.saharoni.com/about,(privacy_filtered),ISR,ALL,0,5,0.0,3.0,2026-06-01 to 2026-09-16,About page ranking in top 3.
page,https://kesher.saharoni.com/blog,(privacy_filtered),ISR,ALL,0,4,0.0,3.75,2026-06-01 to 2026-09-16,Blog index page.
page,https://kesher.saharoni.com/blog/new-relationship-initial-intentions,(privacy_filtered),ISR,ALL,0,6,0.0,70.67,2026-06-01 to 2026-09-16,Receives 6 impressions across queries (one of which is פגישה ראשונה).
page,https://kesher.saharoni.com/blog/breaking-the-yelling-cycle,(privacy_filtered),ISR,ALL,0,2,0.0,94.0,2026-06-01 to 2026-09-16,Parenting anger/yelling article.
page,https://kesher.saharoni.com/blog/child-after-school-restraint-collapse,(privacy_filtered),ISR,ALL,0,2,0.0,5.0,2026-06-01 to 2026-09-16,Restraint collapse article in top 5.
page,https://kesher.saharoni.com/blog/couples-adhd-partner,(privacy_filtered),ISR,ALL,0,1,0.0,8.0,2026-06-01 to 2026-09-16,Couples ADHD article.
page,https://kesher.saharoni.com/blog/dating-second-chance-criteria,(privacy_filtered),ISR,ALL,0,2,0.0,3.0,2026-06-01 to 2026-09-16,Dating second chance article in top 3.
page,https://kesher.saharoni.com/blog/dating-transition-to-relationship-boundaries,(privacy_filtered),ISR,ALL,0,1,0.0,95.0,2026-06-01 to 2026-09-16,Article receiving impression for לא להראות התלהבות בתחילת קשר.
page,https://kesher.saharoni.com/blog/exhausted-couple-communication,(privacy_filtered),ISR,ALL,0,1,0.0,7.0,2026-06-01 to 2026-09-16,Exhausted couple communication article.
page,https://kesher.saharoni.com/blog/gifted-children-framework-preparation,(privacy_filtered),ISR,ALL,0,1,0.0,8.0,2026-06-01 to 2026-09-16,Gifted framework preparation article.
page,https://kesher.saharoni.com/blog/marriage-prep-financial-expectations-2026-08-24,(privacy_filtered),ISR,ALL,0,1,0.0,4.0,2026-06-01 to 2026-09-16,Marriage finance expectations article.
page,https://kesher.saharoni.com/blog/newlywed-first-year-conflicts,(privacy_filtered),ISR,ALL,0,2,0.0,36.0,2026-06-01 to 2026-09-16,Newlywed first year conflicts article.
page,https://kesher.saharoni.com/blog/premarital-counseling-divorced-parents,(privacy_filtered),ISR,ALL,0,1,0.0,1.0,2026-06-01 to 2026-09-16,Premarital counseling for children of divorce at rank 1.0.
page,https://kesher.saharoni.com/blog/premarital-questions-before-wedding,(privacy_filtered),ISR,ALL,0,2,0.0,38.0,2026-06-01 to 2026-09-16,Premarital questions article.
page,https://kesher.saharoni.com/blog/public-tantrums-emotional-regulation,(privacy_filtered),ISR,ALL,0,1,0.0,8.0,2026-06-01 to 2026-09-16,Tantrums emotional regulation article.
page,https://kesher.saharoni.com/blog/relocation-career-loss-and-dependence,(privacy_filtered),ISR,ALL,0,1,0.0,9.0,2026-06-01 to 2026-09-16,Relocation career loss article.
