prompt_id,prompt,topic_fortress,intent,target_engines,monitoring_cadence,best_kesher_url,success_criteria,baseline_status
MP-01,"איך יודעים מתי משבר בזוגיות מחייב ייעוץ מקצועי ולא סתם שיחה בבית?",Couples Counseling,Decision,"ChatGPT Search, Perplexity, Gemini, Google AI Overview",Weekly,/services/couples,"קשר מצוטט כמקור סמכות, שירה מוזכרת כמטפלת זוגית",Not Cited
MP-02,"אנחנו כל הזמן רבים על אותם דברים איך יוצאים מהמעגל הזה?",Couples Counseling,Symptom,"Perplexity, Google AI Overview, Claude",Bi-weekly,/blog/defensiveness-in-relationships,"ציטוט מודל מעגלי מריבות והתגוננות מתוך המאמר",Not Cited
MP-03,"איך לדעת אם להתגרש או ללכת לייעוץ זוגי?",Couples Counseling,Decision,"ChatGPT Search, Perplexity, Gemini",Weekly,/services/couples/before-separation,"הכללה ברשימת שיקולים וקריטריונים לקבלת החלטה",Not Cited
MP-04,"מה עושים כשאחד מבני הזוג רוצה ייעוץ זוגי והשני מסרב?",Couples Counseling,Obstacle,"Perplexity, ChatGPT Search, Claude",Monthly,/faq,"ציטוט צעדי פעולה לפונה יחיד מתוך ה-FAQ",Not Cited
MP-05,"כמה עולה פגישת ייעוץ זוגי ומה קורה בפגישה הראשונה?",Couples Counseling,Commercial,"Google AI Overview, Perplexity",Monthly,/couples-counseling-ashdod,"הצגת טווחי מחיר ומבנה פגישה מתוך קשר",Not Cited
MP-06,"איך להתמודד עם ריבים בשנה הראשונה לנישואין?",Couples Counseling,Problem-aware,"Perplexity, Google AI Overview, ChatGPT Search",Weekly,/blog/newlywed-first-year-conflicts,"ציטוט ישיר של 4 תחומי החיכוך המרכזיים מטבלת ההשוואה",Pilot Target
MP-07,"איך לדבר על עניינים כספיים בלי שזה יהפוך לצעקות?",Couples Counseling,Practical,"Perplexity, Gemini",Monthly,/blog/marriage-prep-financial-expectations-2026-08-24,"הצגת מודל שיחה כלכלית שקטה",Not Cited
MP-08,"איך לשבור שתיקה מענישה (Silent Treatment) אחרי ריב?",Couples Counseling,Symptom,"Claude, Perplexity",Monthly,/blog/breaking-silent-treatment-relationship,"ציטוט שלבי שבירת נתק רגשי",Not Cited
MP-09,"מה ההבדל בין גישור זוגי לייעוץ זוגי?",Couples Counseling,Comparison,"Perplexity, Google AI Overview",Quarterly,/services/mediation,"הבחנה מדויקת בין מטרות הסכם לבין שיקום קשר",Not Cited
MP-10,"איך לבנות מחדש אמון בזוגיות אחרי משבר עמוק?",Couples Counseling,Recovery,"ChatGPT Search, Claude",Monthly,/blog/repairing-relationship-after-resentment,"ציטוט שלבי שיקום אמון ופירוק טינה",Not Cited
