topic,service_relation,existing_urls,coverage_level,apparent_search_relevance,commercial_relevance,evidence,needs_serp_research,notes
ייעוץ זוגי כללי ותקשורת זוגית,שירות ליבה,https://kesher.saharoni.com/services/couples; https://kesher.saharoni.com/blog/communication-breakdown; https://kesher.saharoni.com/blog/exhausted-couple-communication; https://kesher.saharoni.com/blog/couples-communication-distractions-presence,STRONG,HIGH,HIGH,"עמוד שירות ראשי + 20+ מאמרי בלוג בנושאי תקשורת, נתק ושחיקה. עמוד תקשורת מקבל קליקים ב-GSC.",YES,נושא עוגן מרכזי; דורש בדיקת כוונות SERP מול פתרונות תקשורת מעשיים.
ייעוץ זוגי מקומי באשדוד והסביבה,שירות ליבה (לוקאלי),https://kesher.saharoni.com/couples-counseling-ashdod,STRONG,HIGH,HIGH,"דף נחיתה מקומי מותאם CRO, קישור מ-41 מאמרי בלוג, קישור ב-Header ו-Footer, סכמת LocalBusiness עם אזור שירות אשדוד.",YES,עמוד עוגן מסחרי מקומי לכלל שאילתות ייעוץ זוגי באשדוד/הדרום.
ייעוץ זוגי במשבר חריף ועצירת הסלמה,שירות ליבה (משבר),https://kesher.saharoni.com/services/couples/crisis; https://kesher.saharoni.com/blog/repairing-relationship-after-resentment,PARTIAL,HIGH,HIGH,דף נחיתה ייעודי קיים (/services/couples/crisis); מאמרים סביב טינה ופיצוצים קיימים אך מפוזרים.,YES,כוונת חיפוש דחופה (BOFU/Crisis). כדאי לבדוק ביטויי משבר ודחיפות.
בירור זוגי לפני פרידה או גירושין (Discernment),שירות ליבה / גישור,https://kesher.saharoni.com/services/couples/before-separation,PARTIAL,MEDIUM,HIGH,דף נחיתה ייעודי קיים (/services/couples/before-separation). תוכן מאמרים ייעודי מועט.,YES,פנייה לצומת קבלת החלטות גורלית. ערך עסקי גבוה.
מריבות על כסף וניהול תקציב זוגי,ייעוץ זוגי / טרום נישואין,https://kesher.saharoni.com/blog/marriage-prep-financial-expectations-2026-08-24,WEAK,HIGH,MEDIUM,מאמר אחד פורסם סביב ציפיות כספיות לפני נישואים; מאמר money-fights-communication עדיין בסטטוס טיוטה (לא עומד בסף כותרות/מבנה).,YES,נושא נפוץ מאוד בריבים זוגיים; קיים פער בתוכן מפורסם ערוך ומאונדקס.
זוגיות עם בן/בת זוג עם הפרעת קשב (ADHD),ייעוץ זוגי (התמחות),https://kesher.saharoni.com/blog/couples-adhd-partner; https://kesher.saharoni.com/blog/couples-adhd-premarital-planning,PARTIAL,HIGH,HIGH,2 מאמרים מפורסמים בבלוג שקיבלו חשיפות ב-GSC. אין עמוד שירות ייעודי.,YES,נישה חזקה וספציפית בעלת עניין רב; SERP יבהיר האם להסתפק במאמרים או להרחיב.
זוגיות אחרי לידה ומעבר להורות,ייעוץ זוגי,src/data/posts.json (relationship-after-childbirth - טיוטה קצרה 181 מילים),WEAK,HIGH,HIGH,טיוטה קצרה ולא מפורסמת בלבד. אין כיסוי מאונדקס באתר כרגע.,YES,צומת משבר זוגי קלאסי בישראל (משבר השנה הראשונה להורות). פער תוכן ברור.
הכנה לנישואין וליווי השנה הראשונה,שירות נישה,https://kesher.saharoni.com/services/premarital-first-year; https://kesher.saharoni.com/blog/premarital-questions-before-wedding; https://kesher.saharoni.com/blog/premarital-counseling-divorced-parents; https://kesher.saharoni.com/blog/newlywed-first-year-conflicts; https://kesher.saharoni.com/blog/marriage-prep-financial-expectations-2026-08-24,STRONG,HIGH,HIGH,עמוד שירות ייעודי + 4 מאמרים מאונדקסים שזכו לחשיפות ב-GSC (מיקומים 1–38).,YES,נושא עם כיסוי איכותי ועדויות ראשוניות ב-GSC.
"הדרכת הורים כללית, סמכות וגבולות",שירות ליבה,https://kesher.saharoni.com/services/parenting; https://kesher.saharoni.com/blog/boundaries-without-punishments; https://kesher.saharoni.com/blog/breaking-the-yelling-cycle,STRONG,HIGH,HIGH,עמוד שירות מרכזי + מאמר גבולות ללא עונשים הניב 11 חשיפות ו-2 קליקים ב-GSC (מיקום 3.45).,YES,נושא עוגן להורים; ביצועי GSC חיוביים מעידים על פוטנציאל גבוה.
הדרכת הורים מקומית באשדוד,שירות ליבה (לוקאלי),https://kesher.saharoni.com/parenting-guidance-ashdod,STRONG,HIGH,HIGH,"דף נחיתה מקומי מותאם CRO, קישור מ-16 מאמרי הדרכת הורים, קישור ב-Header ו-Footer.",YES,עמוד עוגן מסחרי מקומי להורים באשדוד.
