cluster_id,cluster_name,primary_intent,funnel_stage,primary_query,supporting_queries,paa_questions,related_searches,autocomplete_terms,gsc_evidence,serp_evidence,existing_urls,existing_drafts,service_relation,evidence_strength,cannibalization_risk,recommended_action,target_url,business_relevance,conversion_intent,confidence,rationale
CLUST-DATING-FIRST-DATE,First-date conversation,Informational,TOFU,שאלות לפגישה ראשונה,"נושאי שיחה לפגישה ראשונה; על מה לדבר בפגישה ראשונה","על מה לדבר בפגישה ראשונה","שאלות לפגישה ראשונה; נושאי שיחה לפגישה ראשונה",,"Broad GSC query פגישה ראשונה: 1 impression at pos 82","Persisted Related Search/PAA; mixed head SERP intent","/blog/new-relationship-initial-intentions; /blog/dating-second-chance-criteria",,מציאת זוגיות,HIGH,MEDIUM,NEEDS_REVIEW,,MEDIUM,LOW,MEDIUM,"Observed intent is real, but no existing URL cleanly matches first-date conversation. Do not force-fit into current intentions article."
CLUST-DATING-EARLY-PHASE,Early relationship pacing and enthusiasm,Informational / Dating Psychology,MOFU,לא להראות התלהבות בתחילת קשר,"טעויות של תחילת קשר; איך להראות התלהבות במידה","האם כדאי לשחק אותה קשה להשגה","איך להראות התלהבות במידה","טעויות של תחילת קשר","Exact GSC query: 1 impression at pos 95","Persisted Autocomplete/Related/PAA evidence","/blog/dating-transition-to-relationship-boundaries",,מציאת זוגיות,HIGH,LOW,UPDATE_EXISTING,/blog/dating-transition-to-relationship-boundaries,HIGH,MEDIUM,HIGH,"Existing article already covers pacing, reciprocity and uncertainty; expand without creating a competing URL."
CLUST-LOCAL-COUPLES-ASHDOD,Local couples counseling Ashdod,Local Commercial,BOFU,ייעוץ זוגי באשדוד,"ייעוץ זוגי באשדוד המלצות; יועצת זוגית באשדוד",,"ייעוץ זוגי באשדוד המלצות","ייעוץ זוגי באשדוד","Page-level local asset; exact query metrics hidden","Local pack + municipal/directories + persisted related-search evidence","/couples-counseling-ashdod",,שירות ליבה מקומי,HIGH,MEDIUM,UPDATE_EXISTING,/couples-counseling-ashdod,HIGH,HIGH,MEDIUM,"Keep current local page. Future trust/review enhancements require real approved source material; no fabricated testimonials."
CLUST-SERVICE-ONLINE,Online couples counseling,Commercial / Service Seeking,BOFU,ייעוץ זוגי אונליין,"טיפול זוגי בזום מחיר","האם ייעוץ זוגי אונליין עובד","טיפול זוגי בזום מחיר","ייעוץ זוגי אונליין",,"Persisted Autocomplete + PAA/related evidence","/services/couples; /services/couples-aliyah-relocation",,שירות ליבה,HIGH,HIGH,UPDATE_EXISTING,/services/couples,HIGH,HIGH,HIGH,"The existing couples service page already targets online/Zoom in title, metadata, schema and copy. Strengthen it instead of creating a duplicate URL."
CLUST-COUPLES-PRICING,Couples counseling price,Commercial Investigation,MOFU,כמה עולה ייעוץ זוגי,,,,כמה עולה ייעוץ זוגי,,"Persisted Autocomplete","/services/couples; /couples-counseling-ashdod",,שירות ליבה,HIGH,MEDIUM,ADD_FAQ_SECTION,/services/couples,HIGH,MEDIUM,MEDIUM,"Useful supporting intent. Current Ashdod landing page publishes 500 ILS; verify business pricing scope before copying price to the general/online service page."
CLUST-POSTPARTUM-RELATIONSHIP,Relationship after childbirth,Informational / Problem Aware,MOFU,משבר זוגיות אחרי לידה,"ריבים בזוגיות אחרי לידה; זוגיות אחרי לידה","",אין אינטימיות אחרי לידה,"משבר זוגיות אחרי לידה; ריבים בזוגיות אחרי לידה",,"Persisted Autocomplete/Related and SERP evidence",,relationship-after-childbirth,ייעוץ זוגי,HIGH,LOW,EXPAND_EXISTING,/blog/relationship-after-childbirth,HIGH,MEDIUM,HIGH,"Distinct transition-to-parenthood problem cluster; existing draft is too thin and can be rebuilt into one comprehensive article."
CLUST-MONEY-RELATIONSHIP,Money conflicts in relationships,Informational / Problem Aware,MOFU,מריבות על כסף בזוגיות,"איך מדברים על כסף בזוגיות; בגידה כלכלית בזוגיות","איך מדברים על כסף בזוגיות","בגידה כלכלית בזוגיות",,,"Persisted SERP plus PAA/Related around the seed","/blog/marriage-prep-financial-expectations-2026-08-24",money-fights-communication,ייעוץ זוגי / טרום נישואין,MEDIUM,MEDIUM,EXPAND_EXISTING,/blog/money-fights-communication,HIGH,MEDIUM,MEDIUM,"Established-couple conflict is distinct from premarital expectation-setting. Rewrite draft around relationship communication, not financial advice."
CLUST-ADHD-COUPLES,ADHD and couples,Informational / Problem Aware,MOFU,זוגיות עם בן זוג עם הפרעת קשב,"השפעת הפרעת קשב על חיי הנישואין; בן זוג עם adhd לא עוזר בבית",, "השפעת הפרעת קשב על חיי הנישואין; בן זוג עם adhd לא עוזר בבית",,,"Persisted SERP/Related evidence","/blog/couples-adhd-partner; /blog/couples-adhd-premarital-planning",,ייעוץ זוגי,MEDIUM,MEDIUM,INTERNAL_LINK_ONLY,/blog/couples-adhd-partner,HIGH,MEDIUM,MEDIUM,"Coverage already exists. Clarify established-relationship vs premarital roles and strengthen cross-links before adding more content."
CLUST-TEEN-SOCIAL-ANXIETY,Parents supporting teens with social anxiety,Informational / Parental Support,MOFU,חרדה חברתית אצל מתבגרים,"איך לעזור לילד עם חרדה חברתית","איך לעזור לילד עם חרדה חברתית","טיפול cbt בחרדה חברתית לנוער",,, "Health/clinical SERP; limited persisted results",,parenting-teen-social-anxiety,הדרכת הורים,LOW,HIGH,NEEDS_REVIEW,,MEDIUM,MEDIUM,LOW,"Clinical-overlap topic and synthesized SEO phrase. Keep out of Wave 1; any future content must stay within parenting guidance and referral boundaries."
CLUST-COUPLES-COMMUNICATION,Couples communication tools,Informational / Practical,TOFU,תרגילים לשיפור תקשורת זוגית,"נתק בתקשורת בזוגיות; תקשורת זוגית","איך לשפר את התקשורת בזוגיות",,תרגילים לשיפור תקשורת זוגית,"communication-breakdown page: 3 clicks / 5 impressions / pos 4.4 page-level","Persisted Autocomplete/PAA","/blog/communication-breakdown; /blog/exhausted-couple-communication",,ייעוץ זוגי,HIGH,MEDIUM,UPDATE_EXISTING,/blog/communication-breakdown,HIGH,LOW,HIGH,"Strong existing page signal plus direct practical-query evidence. Add exercises without diluting the communication-breakdown intent."
CLUST-PARENTING-BOUNDARIES,Parenting boundaries without yelling,Informational / Practical,MOFU,איך להציב גבולות בלי לצעוק,"הצבת גבולות לילדים; גבולות ללא עונשים","איך להציב גבולות בלי לצעוק","הצבת גבולות לילדים בגיל 3",,"boundaries page: 2 clicks / 10-11 impressions / top-4 page-level","Persisted PAA/Related","/blog/boundaries-without-punishments; /blog/breaking-the-yelling-cycle",,הדרכת הורים,HIGH,MEDIUM,UPDATE_EXISTING,/blog/boundaries-without-punishments,HIGH,MEDIUM,HIGH,"Use boundaries article for limit-setting; keep yelling-cycle article focused on parent self-regulation."
CLUST-PARENTING-TEENS,Parent guidance for teenagers,Commercial / Informational,MOFU,הדרכת הורים למתבגרים,,,,הדרכת הורים למתבגרים,,"Persisted Autocomplete","/services/parenting",,הדרכת הורים,HIGH,LOW,UPDATE_EXISTING,/services/parenting,HIGH,HIGH,HIGH,"Observed service-intent variation fits the existing parenting service page; add a substantive teen-focused section rather than a new page."
CLUST-LOCAL-PARENTING-ASHDOD,Local parenting guidance Ashdod,Local Commercial,BOFU,הדרכת הורים באשדוד,,,,,,"Local SERP reviewed in Phase 2","/parenting-guidance-ashdod",,שירות ליבה מקומי,MEDIUM,LOW,INTERNAL_LINK_ONLY,/parenting-guidance-ashdod,HIGH,HIGH,MEDIUM,"Existing local landing page already serves this intent. Monitor and strengthen internal links as supporting content grows."
CLUST-LOCAL-MEDIATION-ASHDOD,Local couples mediation Ashdod,Local Commercial,BOFU,גישור זוגי באשדוד,,,,,,"Local SERP reviewed in Phase 2","/couples-mediation-ashdod",,גישור,MEDIUM,LOW,INTERNAL_LINK_ONLY,/couples-mediation-ashdod,HIGH,HIGH,MEDIUM,"Existing dedicated landing page; no evidence for another URL."
CLUST-PREMARITAL-FIRST-YEAR,Premarital and first-year marriage,Commercial / Informational,MOFU,ייעוץ לפני נישואין,"הכנה לנישואין; שנה ראשונה לנישואין; ריבים בתחילת הנישואין",,,, "Service page has GSC page-level clicks/impressions","Phase 2 seed/SERP research","/services/premarital-first-year; /blog/premarital-questions-before-wedding; /blog/newlywed-first-year-conflicts",,שירות נישה,MEDIUM,MEDIUM,INTERNAL_LINK_ONLY,/services/premarital-first-year,HIGH,HIGH,MEDIUM,"Coverage is already substantial. Prioritize architecture and measurement before adding more URLs."
CLUST-RELOCATION-COUPLES,Couples counseling for relocation,Commercial / Informational,MOFU,ייעוץ זוגי ברילוקיישן,,,,,,"Service page has page-level GSC impressions","Limited Phase 2 SERP summary","/services/couples-aliyah-relocation",,שירות נישה,MEDIUM,LOW,INTERNAL_LINK_ONLY,/services/couples-aliyah-relocation,MEDIUM,HIGH,MEDIUM,"Existing specialist page already covers the intent, including online delivery."
CLUST-RELIGIOUS-COUPLES,Religious-sector couples counseling,Commercial / Cultural,BOFU,ייעוץ זוגי לדתיים,"ייעוץ זוגי לחרדים; ייעוץ זוגי לפי ההלכה",,, "ייעוץ זוגי לדתיים",, "Autocomplete market observation","",,לא ממוצב כרגע באתר,MEDIUM,HIGH,IGNORE,,LOW,MEDIUM,HIGH,"Market demand exists, but the current business/site does not support a dedicated religious/halachic positioning."
