signal_id,query,source,parent_seed_id,parent_query,raw_text,normalized_query,observed_at_utc,language,country,serp_features_detected,confidence,notes
SIG-0001,ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי,ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0002,ייעוץ זוגי באר שבע,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי באר שבע,ייעוץ זוגי באר שבע,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0003,ייעוץ זוגי באשדוד,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי באשדוד,ייעוץ זוגי באשדוד,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0004,ייעוץ זוגי באשקלון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי באשקלון,ייעוץ זוגי באשקלון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0005,ייעוץ זוגי במרכז,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי במרכז,ייעוץ זוגי במרכז,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0006,ייעוץ זוגי חינם,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי חינם,ייעוץ זוגי חינם,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0007,ייעוץ זוגי לימודים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לימודים,ייעוץ זוגי לימודים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0008,ייעוץ זוגי הידברות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הידברות,ייעוץ זוגי הידברות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0009,ייעוץ זוגי מכבי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מכבי,ייעוץ זוגי מכבי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0010,ייעוץ זוגי כללית,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי כללית,ייעוץ זוגי כללית,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (BASE)
SIG-0011,ייעוץ זוגי מומלץ,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מומלץ,ייעוץ זוגי מומלץ,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (TRAILING_SPACE)
SIG-0012,כמה עולה ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,כמה עולה ייעוץ זוגי,כמה עולה ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (PREFIX_כמה עולה)
