prompt,topic_fortress,intent,funnel_stage,commercial_value,local_intent,best_kesher_url,related_urls,content_gap,query_fan_out_themes,priority
איך יודעים מתי משבר בזוגיות מחייב ייעוץ מקצועי ולא סתם שיחה בבית?,Couples Counseling,Decision,Decision,High,False,/services/couples,/services/couples/crisis,None,"סימנים למשבר זוגי, פנייה לייעוץ",P0
אנחנו כל הזמן רבים על אותם דברים איך יוצאים מהמעגל הזה?,Couples Counseling,Symptom,Symptom,High,False,/blog/defensiveness-in-relationships,/services/couples,None,"דפוסי מריבות קבועים, הסלמה",P0
שתיקה אחרי ריב בזוגיות - איך לשבור את הנתק?,Couples Counseling,Symptom,Symptom,Medium,False,/blog/breaking-silent-treatment-relationship,/services/couples,None,"נתק רגשי, שתיקה מענישה",P0
איך להתמודד עם עומס מנטלי בזוגיות כשמרגישים לבד בניהול הבית?,Couples Counseling,Problem-aware,Problem-aware,Medium,False,/blog/invisible-mental-load-couples,/services/couples,None,"חלוקת נטל מנטלי, תיאום ציפיות",P0
איך לדעת אם להתגרש או ללכת לייעוץ זוגי?,Couples Counseling,Decision,Decision,High,False,/services/couples/before-separation,/services/couples/crisis,None,"התלבטות לפני פרידה, בדיקת סיכוי",P0
מה עושים כשאחד מבני הזוג רוצה ייעוץ זוגי והשני מסרב?,Couples Counseling,Obstacle,Obstacle,High,False,/faq,/services/couples,None,"סירוב לייעוץ, צעדים ליחיד",P0
אנחנו לא רבים אבל יש ריחוק מוחלט מה עושים?,Couples Counseling,Symptom,Symptom,High,False,/blog/exhausted-couple-communication,/services/couples,None,"שחיקה זוגית, בדידות ביחד",P0
איך לבנות מחדש אמון בזוגיות אחרי משבר עמוק?,Couples Counseling,Recovery,Recovery,High,False,/blog/repairing-relationship-after-resentment,/services/couples,None,"שיקום אמון, שחרור טינה",P0
כמה עולה פגישת ייעוץ זוגי ומה קורה בפגישה הראשונה?,Couples Counseling,Commercial,Commercial,High,False,/couples-counseling-ashdod,/faq,None,"מחיר ייעוץ זוגי, מבנה פגישה",P0
איך להציב גבולות מול חמות מתערבת בלי לפגוע בבן הזוג?,Couples Counseling,Problem-aware,Problem-aware,Medium,False,/blog/boundaries-extended-family,/services/couples,None,"משפחה מורחבת, גבולות בזוגיות",P1
ייעוץ זוגי בזום האם זה יעיל כמו בקליניקה?,Couples Counseling,Comparison,Comparison,High,False,/faq,/services/couples,None,ייעוץ מקוון מול פרונטלי,P1
איך לשפר תקשורת זוגית כשיש תחושה שבן הזוג לא מקשיב?,Couples Counseling,Symptom,Symptom,High,False,/blog/listening-vs-fixing-relationship-communication,/services/couples,None,הקשבה אמפתית מול פתרונות,P1
האם שווה להציל נישואים רק בשביל הילדים?,Couples Counseling,Decision,Decision,High,False,/services/couples/before-separation,/services/couples,None,הישארות יחד למען ילדים,P1
איך מתמודדים עם ביקורת מתמדת מצד בן הזוג?,Couples Counseling,Symptom,Symptom,Medium,False,/blog/i-told-you-so-criticism-in-relationships,/services/couples,None,"ביקורתיות בזוגיות, תגובות הגנה",P1
הטלפונים הורסים לנו את הערב איך מחזירים זמן זוגי?,Couples Counseling,Problem-aware,Problem-aware,Medium,False,/blog/screens-relationship-intimacy,/services/couples,None,"מסכים בזוגיות, נוכחות",P1
